Model,OA,AA,Kappa,Edge_Acc,Interior_Acc,Edge_Gap,Train_Time_s
SVM_RBF,0.7492195629552549,0.6664710709142508,0.7120652779758376,0.6376518218623481,0.7878151260504201,0.150163304188072,
1D_CNN,0.7346514047866806,0.6128286572790569,0.6966906474820144,0.6174089068825911,0.7752100840336135,0.15780117715102238,18.633513927459717
2D_CNN,0.9549947970863684,0.8536064821610072,0.9486692739760675,0.8896761133603239,0.9775910364145658,0.08791492305424187,16.64276671409607
3D_CNN,0.8903485952133194,0.7420966869156653,0.873720087773816,0.7889676113360324,0.9254201680672269,0.1364525567311945,497.9410169124603
